iter	Passed	Remaining
0	0	95
1	1	82
2	2	75
3	2	69
4	3	69
5	4	66
6	4	65
7	5	64
8	6	62
9	7	63
10	8	66
11	9	66
12	9	66
13	10	67
14	12	68
15	12	67
16	13	66
17	14	64
18	14	62
19	15	61
20	15	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	21	51
30	22	50
31	23	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	65	0
99	65	0
